photoid,userid,x,y
4707678663,50249220@N00,-339696.99,383364.69
4707700959,50249220@N00,-351981.07,322303.77
4708313516,50249220@N00,-199614.82,-22181.5
4707708973,50249220@N00,-373134.51,275653.9
4707710299,50249220@N00,-310478.78,331544.19
4708355698,50249220@N00,-222457.79,-18897.12
4707712065,50249220@N00,-222466.94,-18692.92
4707671043,50249220@N00,-147528.12,60083.4
4707696367,50249220@N00,-340798.16,380487.76
4708354828,50249220@N00,-326072.37,194508.22
4708353224,50249220@N00,-364057.58,264732.08
4928818646,35895242@N07,-333227.53,380463.38
4950541304,35895242@N07,-333955.08,380526.06
4928218757,35895242@N07,-340934.41,378573.34
3917082553,31355801@N05,-230116.1,28310.65
3917078109,31355801@N05,-230047.52,27133.51
3917090661,31355801@N05,-230181.64,27437.16
3917079535,31355801@N05,-230569.67,27453.62
4423079227,36989019@N08,-129886.53,63996.1
6131839090,36989019@N08,-99081.09,-201532.18
5353105540,36989019@N08,-15921.41,145779.34
6889891035,8593553@N05,-81677.87,222945.35
6889881371,8593553@N05,-84904.29,254917.25
6889908399,8593553@N05,-84910.6,255100.91
6889909233,8593553@N05,-193823,368596.45
6889904999,8593553@N05,-84917.04,254659.26
6889904181,8593553@N05,-84920.46,254512.13
6889922471,8593553@N05,-194538.15,384499.11
6889902955,8593553@N05,-86725.62,253120.78
5409571231,58013111@N07,-236352.41,35972.07
5484310437,58013111@N07,-270120.03,47365.75
5377696884,58013111@N07,-236299.52,50666.91
5356661968,58013111@N07,-244398.42,58031.71
5199381469,14753651@N03,-195741.86,368290.89
3185441750,73994646@N00,-211142.34,-23147.03
4354857351,73994646@N00,-198620.88,-12427.68
3180366841,73994646@N00,-213314.44,-23410.44
6844609629,73994646@N00,-211271.99,-21819.99
3275675274,73994646@N00,-211471,-21738.11
2307605835,16268809@N04,-122461.33,-112738.4
2566076061,16268809@N04,-179180.76,361509.2
2035701258,16268809@N04,-340766.17,396732.25
2272699231,16268809@N04,-60297.15,-177540.05
7162058247,23660854@N07,-189091,394565.62
5324856174,23660854@N07,-197337.97,415723.93
8342158491,23660854@N07,-202612.04,403509.43
5324251903,23660854@N07,-201973.18,412733.5
8342157535,23660854@N07,-203075.74,399818.22
5811586209,23660854@N07,-203257.77,405008.71
3176213498,23660854@N07,-200726.55,407503.54
3176214252,23660854@N07,-200596.24,409534.46
3175380911,23660854@N07,-210581.74,400467.44
2285324698,23660854@N07,-198353.73,414588.25
5810872062,23660854@N07,-198349.04,340475.04
5810871344,23660854@N07,-196938.49,339948.7
8342160585,23660854@N07,-199219.82,413011.59
7347266926,23660854@N07,-206809.68,410259.19
8342157095,23660854@N07,-199978.03,404538.44
3176212026,23660854@N07,-206767.36,395294.1
7347266784,23660854@N07,-200359.98,406003.6
3325112158,23660854@N07,-255723.79,406312.32
4653463686,23660854@N07,-209095.18,250784.63
5324856726,23660854@N07,-197609.95,414003.95
5810871246,23660854@N07,-199345.64,379239.64
2284446525,23660854@N07,-196747.44,416959.26
3176215662,23660854@N07,-201214.67,410552.85
8342156453,23660854@N07,-201715.01,407215.4
3972556802,35247235@N02,-361565.87,293050.08
3971785153,35247235@N02,-360651.1,293412.8
3972559770,35247235@N02,-328730.43,158071.72
3971792467,35247235@N02,-121720.06,277054.47
3971791463,35247235@N02,-340100.78,399393.83
3971790303,35247235@N02,-349271.35,346568.07
3972559444,35247235@N02,-326909.08,149635.77
3972557484,35247235@N02,-349434.37,346805.28
3972560322,35247235@N02,-192544.34,366008.41
3971788383,35247235@N02,-360524.07,293648.06
